time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010447400000	19.7403	8.95983	4.78939	1.16075	0.388367	lidar	4.20278	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8127	9.18633	4.77428	1.19211	0.404289	radar	1.13366	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.942	9.40454	4.78937	1.19816	0.390715	lidar	2.60039	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9884	9.63166	4.75793	1.23764	0.417382	radar	3.14544	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0777	9.8627	4.76972	1.25514	0.414015	lidar	0.436973	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1365	10.1094	4.78971	1.28155	0.417294	radar	6.88253	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1881	10.3689	4.81682	1.31182	0.425585	lidar	0.609136	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.207	10.605	4.79261	1.35321	0.451576	radar	3.47247	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2674	10.8683	4.82862	1.37638	0.451429	lidar	1.61626	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2965	11.1206	4.84203	1.40553	0.45684	radar	4.86873	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.331	11.3583	4.83982	1.42904	0.457508	lidar	0.0161245	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2848	11.6046	4.80582	1.49257	0.510238	radar	12.3585	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3543	11.8465	4.81961	1.50032	0.493568	lidar	4.0375	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3751	12.0816	4.82465	1.51502	0.476869	radar	3.1819	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3652	12.3594	4.86469	1.54919	0.485363	lidar	1.16436	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3197	12.5979	4.83947	1.60018	0.52192	radar	4.25767	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3428	12.8401	4.84296	1.615	0.511563	lidar	1.42456	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3284	13.0733	4.82923	1.64358	0.518184	radar	2.24532	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2929	13.2921	4.8033	1.67334	0.522352	lidar	1.29051	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2524	13.5269	4.79952	1.70328	0.525508	radar	1.34271	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2323	13.7824	4.8205	1.72513	0.520959	lidar	1.03652	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.176	14.0114	4.80735	1.76125	0.535615	radar	1.19946	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1222	14.2633	4.8276	1.78996	0.536812	lidar	0.296435	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0497	14.492	4.82201	1.8234	0.543899	radar	1.54938	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9447	14.7417	4.84921	1.86439	0.555577	lidar	1.56103	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8753	14.9606	4.8362	1.8874	0.547561	radar	3.25608	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8393	15.1833	4.81945	1.90089	0.535578	lidar	1.82322	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7104	15.3971	4.80662	1.96382	0.590685	radar	9.08437	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6747	15.5954	4.76316	1.97493	0.575402	lidar	3.27462	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5766	15.8035	4.75261	2.00502	0.577294	radar	1.39253	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4741	16.0161	4.75085	2.03382	0.577282	lidar	0.0021887	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3687	16.2248	4.74804	2.05642	0.565786	radar	1.6208	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
